Amin Akkas,UIN Syarif Hidayatullah Jakarta
Diana Mutia Habibaty,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Adhi Wibowo Nurhidayat,"Faculty of Medicine, UIN Syarif Hidayatullah Jakarta"
Baequni Boerman,Lecture in UIN Syarif Hidayatullah Jakarta and the Indonesian Health Workers Council
Umar Al-Haddad,"Lecturer of Islamic Jurisprudence, UIN Syarif Hidayatullah Jakarta (Syarif Hidayatullah State"
Lilik Ummi Kaltsum,Fakultas Ushuluddin UIN Syarif Hidayatullah Jakarta
Kustati Budi Lestari,"Program Studi Ilmu Keperawatan, FIKES, UIN Syarif Hidayatullah Jakarta"
Afidah Wahyuni ( orcid.org/0000-0002-7347-9732 ),"Islamic Law, UIN Syarif Hidayatullah Jakarta"
Taridi Kasbi Ridho,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Etyn Yunita,UIN Syarif Hidayatullah Jakarta
Ida Rosida,UIN Syarif Hidayatullah Jakarta
Mohammad  Siddiq,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Bambang Ruswandi,UIN Syarif Hidayatullah Jakarta
Abdul Hakim Wahid,UIN Syarif Hidayatullah Jakarta
Sujiyo Miranto,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Sabrina Dahlizar,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Nuryani,UIN Syarif Hidayatullah Jakarta
Asep Fajar Firmansyah,"Universitas Islam Negeri Syarif Hidayatullah Jakarta, University of Paderborn"
sri hidayati,UIN Syarif Hidayatullah Jakarta
Kinkin Suartini,UIN Syarif Hidayatullah Jakarta
Rochimah Imawati,UIN Syarif Hidayatullah - Jakarta
Khairunnisa,"Dosen Jurusan Pendidikan Matematika, UIN Syarif Hidayatullah Jakarta"
Nurul Hidayati,Fakultas Ilmu Dakwah dan Ilmu Komunikasi (FIDKOM) UIN Syarif Hidayatullah Jakarta
Ahmad Abrori,UIN Syarif Hidayatullah Jakarta
Rosida Erowati Irsyad,"Pengajar Kajian Sastra, UIN Syarif Hidayatullah Jakarta"
Suci Ratnawati,UIN Syarif Hidayatullah Jakarta
Mesraini Mesraini,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Muria Khusnun Nisa,UIN Syarif Hidayatullah Jakarta
Feri Fahrianto,UIN Syarif Hidayatullah Jakarta
Zainul Arham,"Lecturer of Computer Sains and Information System, UIN Jakarta"
Suma Inna,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Shobahussurur,UIN Syarif Hidayatullah Jakarta
Jakiatin Nisa,UIN Syarif Hidayatullah Jakarta
Fajar Ariyanti,"Lecturer of Public Health, UIN Syarif Hidayatullah Jakarta"
dwi setiowati,UIN Syarif Hidayatullah jakarta
Rachmat Mulyono,"UIN Syarif Hidayatullah, Jakarta"
Afidah,"Dosen jurusan pendidikan matematika, UIN Syarif Hidayatullah Jakarta"
Cecep Castrawijaya,UIN Syarif Hidayatullah Jakarta
Gilang Rizki Aji Putra (https://orcid.org/0000-0002-3690-1498),Universitas Islam Negeri Syarif Hidayatullah Jakarta
Asep Muhammad Saepul Islam,"Universitas Islam Negeri Syarif Hidayatullah, Jakarta"
Sitti Ahmiatri Saptari,UIN Syarif Hidayatullah Jakarta
Sururin,UIN Syarif Hidayatullah Jakarta
Wahyunengsih,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Ade Suherlan,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Ramdani Miftah,UIN Syarif Hidayatullah Jakarta
Siti Nurul Azkiyah,UIN Syarif Hidayatullah Jakarta
Maftuhah,UIN Syarif Hidayatullah Jakarta
Fika Ekayanti,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Nurul Faizah Rozy,UIN Syarif Hidayatullah Jakarta
"Dr. Erba Rozalina Yulianti, M.Ag.",UIN Syarif Hidayatullah Jakarta
Eva Nugraha,Dosen Kajian al-Qur'an UIN Syarif Hidayatullah Jakarta
Reza Ruhbani Amarulloh,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Dr. Canra  Krisna Jaya, MA.Hum",UIN Syarif Hidayatullah Jakarta
Idris Hemay,Syarif Hidayatullah State Islamic University of Jakarta
Amirudin,UIN Syarif Hidayatullah Jakarta
"Dr. Kholid Al Walid, M.Ag.","Lecturer, Universitas Islam Negeri Syarif Hidayatullah Jakarta"
Yuke Mardiati,Dosen UIN Syarif Hidayatullah Jakarta
Muhammad Fadlillah Fauzukhaq,"Dosen, Universitas Islam Negeri Syarif Hidayatullah Jakarta, Indonesia"
Aini Masruroh ,UIN Syarif Hidayatullah Jakarta
Moh. Anwar Syarifuddin,"Dosen ilmu al-Qur'an dan Tafsir, UIN Jakarta"
